VERSION 1 0
"ISTITUTO-BDC-A2#00" 0 192.168.20.1 66R
"ISTITUTO-BDC-A2#03" 0 192.168.20.1 66R
"ISTITUTO-BDC-A2#20" 0 192.168.20.1 66R
"ISTITUTO-BDC-A3#00" 0 192.168.30.1 66R
"ISTITUTO-BDC-A3#03" 0 192.168.30.1 66R
"ISTITUTO-BDC-A3#20" 0 192.168.30.1 66R
